序号,类别,置信度,井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B,进尺命中率
a2,吴家坪,0.189189,大页1H3-3,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-02-06,2,飞仙关组~吴家坪组,4150.0,4705.0,555.0,113.0,5.112072,1.892144,140~150,50~60,30~26,25~26,飞仙关组,吴家坪组,140.0,150.0,50.981982,60.981982,30.196396,26.098198,25.0,26.098198,1.0
121,沙溪庙,1.0,大页1H3-3,SKG124,牙轮,660.4,川石,顶驱钻,2024-11-27,1,沙溪庙组~沙溪庙组,0.0,50.0,50.0,5.0,8.33,1.07,50~50,60~60,70~3,3~3,沙溪庙组,沙溪庙组,50.0,50.0,60.0,60.0,70.0,3.0,3.0,3.0,1.0
122,沙溪庙,1.0,大页1H3-3,NS519D,PDC,444.5,宝石机械,螺杆钻进,2024-11-28,1,沙溪庙组~沙溪庙组,50.0,508.0,458.0,18.0,25.44,1.07,160~160,60~60,70~12,12~12,沙溪庙组,沙溪庙组,160.0,160.0,60.0,60.0,70.0,12.0,12.0,12.0,1.0
123,吴家坪,1.0,大页1H3-3,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-02-16,1,吴家坪组~吴家坪组,4705.0,5753.0,1048.0,134.0,7.82,1.85,120~150,60~70,28~36,34~36,吴家坪组,吴家坪组,120.0,150.0,60.0,70.0,28.0,36.0,34.0,36.0,1.0
124,吴家坪,0.664872,大页1H3-3,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-02-28,1,吴家坪组~吴家坪组,5753.0,6124.5,371.5,87.0,4.27,1.9,120~140,50~60,32~38,36~38,吴家坪组,吴家坪组,120.0,140.0,50.0,60.0,32.0,38.0,36.0,38.0,1.0
129,沙溪庙,1.0,大页1H3-4,KSD1652DFRT,PDC,311.2,江钻,复合钻进,2025-01-06,1,沙二段~沙二段,523.0,1520.0,997.0,63.0,15.83,1.32,180~200,60~70,60~20,18~20,沙二段,沙二段,180.0,200.0,60.0,70.0,60.0,20.0,18.0,20.0,1.0
130,沙溪庙,0.540146,大页1H3-4,KSD1652DFRT,PDC,311.2,江钻,复合钻进,2025-01-10,1,沙二段~凉上段,1520.0,1794.0,274.0,26.0,10.54,1.34,100~200,60~70,60~23,16~23,沙二段,凉上段,100.0,200.0,60.0,70.0,60.0,23.0,16.0,23.0,1.0
130,自流井,0.459854,大页1H3-4,KSD1652DFRT,PDC,311.2,江钻,复合钻进,2025-01-10,1,沙二段~凉上段,1520.0,1794.0,274.0,26.0,10.54,1.34,100~200,60~70,60~23,16~23,沙二段,凉上段,100.0,200.0,60.0,70.0,60.0,23.0,16.0,23.0,1.0
131,自流井,0.710191,大页1H3-4,HS5164BS,PDC,311.2,惠灵丰,螺杆钻进,2025-01-13,1,凉上段~须四段,1794.0,2422.0,628.0,90.0,6.98,1.33,180~200,50~60,50~20,16~20,凉上段,须四段,180.0,200.0,50.0,60.0,50.0,20.0,16.0,20.0,1.0
131,须家河,0.289809,大页1H3-4,HS5164BS,PDC,311.2,惠灵丰,螺杆钻进,2025-01-13,1,凉上段~须四段,1794.0,2422.0,628.0,90.0,6.98,1.33,180~200,50~60,50~20,16~20,凉上段,须四段,180.0,200.0,50.0,60.0,50.0,20.0,16.0,20.0,1.0
132,须家河,0.897106,大页1H3-4,SD6542B,PDC,311.2,渤海中成,螺杆钻进,2025-01-18,1,须四段~雷一1段,2422.0,2733.0,311.0,57.0,5.46,1.33,180~180,65~65,50~19,18~19,须四段,雷一1段,180.0,180.0,65.0,65.0,50.0,19.0,18.0,19.0,1.0
132,雷口坡~嘉陵江,0.102894,大页1H3-4,SD6542B,PDC,311.2,渤海中成,螺杆钻进,2025-01-18,1,须四段~雷一1段,2422.0,2733.0,311.0,57.0,5.46,1.33,180~180,65~65,50~19,18~19,须四段,雷一1段,180.0,180.0,65.0,65.0,50.0,19.0,18.0,19.0,1.0
133,雷口坡~嘉陵江,1.0,大页1H3-4,SD6542B,PDC,311.2,渤海中成,螺杆钻进,2025-01-21,1,雷五段~嘉二3段,2733.0,3413.0,680.0,40.0,17.0,1.33,200~220,0~70,14.3~28,2~28,雷五段,嘉二3段,200.0,220.0,0.0,70.0,14.3,28.0,2.0,28.0,1.0
134,雷口坡~嘉陵江,1.0,大页1H3-4,SD6532ZC,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,1,嘉二3段~嘉一段,3413.0,3614.0,717.0,10.0,20.1,1.7,120~180,65~65,32~31.5,28~31.5,嘉二3段,嘉一段,120.0,180.0,65.0,65.0,32.0,31.5,28.0,31.5,0.280335
135,雷口坡~嘉陵江,0.366279,大页1H3-4,SD6532ZC,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,2,嘉二3段~飞三段,3614.0,4130.0,717.0,24.0,21.5,1.8,160~180,45~70,34~35,27~35,嘉二3段,飞三段,160.0,180.0,45.0,70.0,34.0,35.0,27.0,35.0,0.719665
135,飞仙关~大隆,0.633721,大页1H3-4,SD6532ZC,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,2,嘉二3段~飞三段,3614.0,4130.0,717.0,24.0,21.5,1.8,160~180,45~70,34~35,27~35,嘉二3段,飞三段,160.0,180.0,45.0,70.0,34.0,35.0,27.0,35.0,0.719665
a3,雷口坡~嘉陵江,0.543933,大页1H3-4,SD6532ZC,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,2,嘉二3段~飞三段,3413.0,4130.0,717.0,34.0,21.107531,1.771967,160~180,45~70,34~35,27~35,嘉二3段,飞三段,148.786611,180.0,50.606695,68.598326,33.439331,34.018828,27.280335,34.018828,1.0
a3,飞仙关~大隆,0.456067,大页1H3-4,SD6532ZC,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,2,嘉二3段~飞三段,3413.0,4130.0,717.0,34.0,21.107531,1.771967,160~180,45~70,34~35,27~35,嘉二3段,飞三段,148.786611,180.0,50.606695,68.598326,33.439331,34.018828,27.280335,34.018828,1.0
136,飞仙关~大隆,0.996903,大页1H3-4,Z616S,PDC,215.9,史密斯,复合钻进,2025-02-07,1,飞三段~大隆组,4130.0,4601.46,471.46,62.0,7.6,1.97,0~150,0~70,0~32,0~32,飞三段,大隆组,0.0,150.0,0.0,70.0,0.0,32.0,0.0,32.0,1.0
136,吴家坪,0.003097,大页1H3-4,Z616S,PDC,215.9,史密斯,复合钻进,2025-02-07,1,飞三段~大隆组,4130.0,4601.46,471.46,62.0,7.6,1.97,0~150,0~70,0~32,0~32,飞三段,大隆组,0.0,150.0,0.0,70.0,0.0,32.0,0.0,32.0,1.0
137,沙溪庙,1.0,大页1H3-4,535CG,牙轮,660.4,宝石机械,顶驱钻,2024-12-01,1,沙二段~沙二段,0.0,50.0,50.0,2.0,25.0,1.07,30~30,30~60,45~3,3~3,沙二段,沙二段,30.0,30.0,30.0,60.0,45.0,3.0,3.0,3.0,1.0
138,沙溪庙,1.0,大页1H3-4,KS1652FGRTY,PDC,444.5,江钻,复合钻进,2025-01-02,1,沙二段~沙二段,50.0,523.0,473.0,16.0,29.56,1.07,30~30,30~30,45~3,3~3,沙二段,沙二段,30.0,30.0,30.0,30.0,45.0,3.0,3.0,3.0,1.0
139,吴家坪,1.0,大页1H3-4,MDis516UBPXG,PDC,215.9,史密斯,复合钻进,2025-02-13,1,吴家坪~吴家坪,4601.46,5388.0,786.54,136.0,5.78,1.97,120~170,50~80,30~36,33~36,吴家坪,吴家坪,120.0,170.0,50.0,80.0,30.0,36.0,33.0,36.0,1.0
140,吴家坪,1.0,大页1H3-4,NT516S,PDC,215.9,史密斯,复合钻进,2025-02-22,1,吴家坪~吴家坪,5388.0,5953.0,565.0,84.0,6.73,1.99,0~54.6,0~19,0~33.4,0~33.4,吴家坪,吴家坪,0.0,54.6,0.0,19.0,0.0,33.4,0.0,33.4,1.0
141,吴家坪,0.066478,大页1H3-4,NTZ516,PDC,215.9,史密斯,复合钻进,2025-03-03,1,吴家坪~吴家坪,5953.0,6660.0,707.0,104.5,6.77,1.89,80~150,50~70,29~38,36~38,吴家坪,吴家坪,80.0,150.0,50.0,70.0,29.0,38.0,36.0,38.0,1.0
